band,sex,primary_dose,secondary_dose,year,population,quantity7,eyetot7,quantity14,eyetot14,quantity21,eyetot21,quantity28,eyetot28,quantity35,eyetot35,dppi40,quantity40,eyetot40,dppi41,quantity41,eyetot41,quantity46,eyetot46,quantity49,eyetot49,quantity56,eyetot56,quantity63,eyetot63,prim_maxeye,prim_maxload,prim_resist,prim_resist10,prim_toleye,prim_inf,presid_old,sec_maxeye,sec_maxload,sec_resist,sec_resist10,sec_toleye,sec_inf,sresid_old
960,m,750,na,2021,az,10635.85306,0,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,41,22199.30142,3,NA,NA,NA,NA,NA,NA,NA,NA,4,22199.30142,10635.85306,4.02681316,3,1,-0.231110658,NA,NA,NA,NA,NA,NA,NA
964,m,0,300,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,4521.950716,0,110302.557,2,4.364508644,0,NA,NA,0,0,0,0,0,0,NA,2,110302.557,110302.557,5.042589518,2,1,0.114681827
965,f,750,30,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
966,f,750,0,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
967,f,750,7000,2022,az,0,0,0,0.5,NA,0,NA,0,NA,0,40,0,0,41,NA,0,21559.18079,0,187915.2764,NA,1566.125204,1.5,NA,NA,0.5,0,0,0,0.5,1,-0.051062959,1.5,187915.2764,187915.2764,5.273964398,1.5,1,0.227913985
968,m,750,7000,2022,az,131.9551908,0,216.3550732,1,NA,0.5,NA,0,NA,0,40,0.840334592,0,41,NA,0,0,0,3764.925169,NA,0,0,NA,NA,1,216.3550732,131.9551908,2.123705298,1,1,-0.060904671,0,3764.925169,3764.925169,3.575871686,0,1,0.274633234
969,f,750,0,2022,az,29956.45075,0,92.48568521,1,NA,0,NA,0,NA,0,40,3.820519191,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,29956.45075,29956.45075,4.476504854,1,1,0.158048458,NA,NA,NA,NA,NA,NA,NA
971,m,750,100,2022,az,156565.1493,0.5,535.1046904,2.5,NA,0.5,NA,0,NA,0,40,1.354146512,0,41,NA,0,69.36900946,0,12.48045595,NA,10.7119045,0,NA,NA,2.5,156565.1493,156565.1493,5.19469787,2.5,1,0.007902552,0,69.36900946,12.48045595,1.129704582,0,1,0.095954594
972,m,0,7000,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,10653.60728,0,401469.3436,1.5,540583.8366,6,NA,NA,0,0,0,0,0,0,NA,6,540583.8366,401469.3436,5.60365347,6,1,-0.479260921
974,f,750,0,2022,az,393.1112952,0,612.4171533,0.5,NA,0,NA,0,NA,0,40,6.119873784,0,41,NA,0,2.5133463,0,0,NA,0,0,NA,NA,0.5,612.4171533,393.1112952,2.595618882,0.5,1,0.052134432,0,2.5133463,0,0,0,0,NA
