"band","sex","primary_dose","secondary_dose","population","dppi46","quantity46","eyetot46","dppi49","quantity49","eyetot49","dppi56","quantity56","eyetot56","dppi63","quantity63","eyetot63","sec_maxeye","sec_maxload","year.x","sec_resist","sec_resist10","sec_toleye","sec_inf","sresid","dppi7","quantity7","eyetot7","dppi14","quantity14","eyetot14","dppi21","quantity21","eyetot21","dppi28","quantity28","eyetot28","dppi35","quantity35","eyetot35","dppi40","quantity40","eyetot40","dppi41","quantity41","eyetot41","year.y","prim_maxeye","prim_maxload","prim_resist","prim_resist10","prim_toleye","prim_inf","presid"
995,"f","0","7000","az",46,69529.35276,0,49,65762.95815,2,56,49.74089941,1,NA,NA,NA,2,69529.35276,"2021",65762.95815,4.81798794429738,2,1,0.0860113789157612,7,0.548124797,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0.548124797,0.548124797,0.189805966982453,0,0,NA
1000,"f","0","300","az",46,0,0,49,0,NA,56,0.5800625,0,NA,NA,NA,0,0.5800625,"2022",0,0,0,0,NA,7,0,0,14,0,0,21,NA,0,28,NA,0,35,NA,0,40,0,0,41,NA,0,"2022",0,0,0,0,0,0,NA
2275,"f","0","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2282,"f","750","100","va",46,0.585088368,0,49,0,0,56,0,0,63,0,0,0,0.585088368,"2021",0,0,0,0,NA,7,58107.66973,0.5,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0.5,58107.66973,58107.66973,4.76424093333701,0.5,1,0.280062392658866
2321,"f","750","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2372,"m","0","30","va",46,0,0,49,0.374308355,0,56,0,0,63,0,0,0,0.374308355,"2021",0.374308355,0.138084186763058,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2374,"f","0","300","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2375,"f","750","7000","va",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7894.669015,0,14,NA,3,21,NA,3.5,28,NA,0,35,NA,0,NA,NA,NA,41,21.97608617,0,"2021",3.5,7894.669015,7894.669015,3.89738893449796,3,1,-0.24600536746538
2377,"f","750","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2378,"m","750","0","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2380,"m","0","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,2.893600461,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,2.893600461,2.893600461,0.590351384655664,0,0,NA
2381,"m","750","7000","va",46,0,0,49,74052.54329,1,56,107.3339343,0.5,63,570.3595162,0,1,74052.54329,"2021",74052.54329,4.86954584333636,1,1,0.259218665604261,7,0.660508328,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0.660508328,0.660508328,0.220241058070734,0,0,NA
2389,"m","750","100","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2390,"f","750","300","va",46,0,0,49,0,0,56,1.369903072,0,63,0,0,0,1.369903072,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2391,"f","750","7000","va",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14956.27681,0,14,NA,1,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,25.88490148,0,"2021",1,14956.27681,14956.27681,4.17485253109232,1,1,0.119921438375534
2392,"f","0","7000","va",46,124316.9373,0.5,49,52696.54749,2,56,54.7042415,1.5,63,0,0,2,124316.9373,"2021",52696.54749,4.72179040389672,2,1,0.0738848837903378,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2393,"f","0","7000","va",46,3028.525928,0,49,327238.7343,1,56,52668.06915,5,63,901.7589095,3.5,5,327238.7343,"2021",327238.7343,5.51486603136705,5,1,-0.324123549474481,7,0,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2394,"m","750","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2395,"f","0","30","va",46,3.258433919,0,49,1380.077838,0,56,28.93603469,1,63,1.623424689,0,1,1380.077838,"2021",1380.077838,3.14021815624789,1,1,0.0652112983094853,7,5.795861866,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,5.795861866,5.795861866,0.832244542733257,0,0,NA
